,text,username,hashtags
119,Michelle Obama and Lena Dunham speak about Media That Matters #letgirlslearn @lennyletter… https://www.instagram.com/p/BBS5ONjiyT3/ ,Todd Haskell,['letgirlslearn']
120,"Instead of playing golf on Tues, God forbid Obama goes to Xmas Eve Svcs..ALONG w condemning the bombings targeting Christians yest in Iraq.",Brandon W. 🇺🇸,[]
121,@Free_Media_Hub . Obama had mentioned intervention but as soon as he did the Republicans shot him down,Barbara Smith,[]
122,Obama signs bill that cracks down on sexual assault in the military: President Barack Obama has signed into law a... http://dlvr.it/4ZyB4h ,New York Now,[]
123,What kind of man drone strikes exponentially on Christmas Day? @BarackObama  you are the most disingenuous person I have ever known,Ecosutra - Film @ Link,[]
124,"@TheReidReport @andie_walsh He should know that msnbc only worships one person, their messiah obama.",Mike,[]
125,We're excited to hear that @BarackObama and @MichelleObama received a gift basket from @IslandOliveOil.  We're honored!,Island Olive Oil,[]
126,@BarackObama I know you are on vacation but this child need your help. Please help us #findAvonte #autism pic.twitter.com/ZZXdPpZcMh,We Need To Get Trump Out The White House. ASAP!,"['findAvonte', 'autism']"
127,Obamas slip away from beach to honor military members on Christmas: President Barack Obama stepped away from the... http://dlvr.it/4ZsG0c ,New York Now,[]
128,The real Barack Cc @BarackObama pic.twitter.com/Pm0wHLb4un,matt lurrie,[]
129,I think the criminals trying to get President Obama to do a appearance in Newark because their Wilding out. Like babies ? Seriously,Niaaaa,[]
130,Us Conservatives knew exactly how Obama would turn out. Too bad they didn't listen. #repealobamacare,Cory,['repealobamacare']
131,@WhiteHouse @FLOTUS @BarackObama It could have been a better Christmas if the Vets and ASM had their full pay & pensions. That's a lil help,Bill Vanglahn 🇺🇸,[]
132,The same to you both! “@BarackObama: Merry Christmas. pic.twitter.com/ZsjaWasDMm”,WeThePeople2013,[]
133,@BarackObama ,Ava Saltzman,[]
134,@BarackObama haan you ma nigga,sebastian,[]
135,@BarackObama Merry Christmas to the first family.,Roger McDore,[]
136,"@mgrossi1 @LiberalPhenom Classic liberal/obama cult member tactic, when all else fails cry racism! 
Sharpton has taught you well.",Mike,[]
137,it wouldn't be a holiday without my grandpa bashing Obama #merrychristmas,Kelly,['merrychristmas']
138,“@BarackObama: Merry Christmas. pic.twitter.com/hV0f7yTwEW” my son,Tayo,[]
139,"There's a storm coming MT @RalstonFlash: Rubio says Obama will move America ""into the dark days of history."" Christopher Nolan could direct.",John Heilemann,[]
